MySuper Product Name,Fund Name,Annual Return
PSSap MySuper Balanced,Public Sector Superannuation Accumulation Plan,-0.000872772
Glidepath,Qantas Superannuation Plan,0.002368168
QIEC MySuper,Queensland Independent Education & Care Superannuation Trust,-0.00229455
Trustee Super Balanced,Rei Super,0.002055913
REST Super,Retail Employees Superannuation Trust,-0.001143989
BT Super for Life MySuper; BT Lifetime Employer MySuper,Retirement Wrap,-0.002849256
Westpac Group Plan MySuper,Retirement Wrap,-0.002260297
Rio Tinto Fund Growth Option (MySuperProduct),Rio Tinto Staff Superannuation Fund,-0.002444035
General Division,Russell Investments Master Trust,-0.001860336
SmartSave MySuper Balanced,Smartsave 'Member's Choice' Superannuation Master Plan,-0.001626347
QSuper Lifetime,State Public Sector Superannuation Scheme,0.002628291
Statewide MySuper,Statewide Superannuation Trust,-0.001877704
Suncorp Lifestage Funds,Suncorp Master Trust,0.009388395
Sunsuper for Life,Sunsuper Superannuation Fund,-0.002896574
AMP MySuper No.3,Super Directions Fund,0.060260471
Tasplan MySuper,Tasplan Superannuation Fund,0.015365298
Telstra Super MySuper,Telstra Superannuation Scheme,-0.003924915
Bendigo MySuper,The Bendigo Superannuation Plan,0.00344239
MySuper MyLife,The Executive Superannuation Fund,0.000639507
TIS MySuper,The Transport Industry Superannuation Fund,0.004823064
MLC MySuper,The Universal Super Scheme,0
VISSF Balanced Option (MySuper Product),The Victorian Independent Schools Superannuation Fund,-0.001997113
MySuper Growth,Toyota Super,-0.000288307
Balanced (MySuper),TWU Superannuation Fund,-0.001474325
UniSuper Balanced,Unisuper,0.00060247
Balanced,United Technologies Corporation Retirement Plan,-0.001123745
Growth (MySuper),Victorian Superannuation Fund,-0.002603437
Virgin Super Essentials,Virgin Superannuation,-0.010278778
My WA Super,WA Local Government Superannuation Plan,-0.000661015
Growth (MySuper),Water Corporation Superannuation Plan,-0.004120024
BT Business MySuper,Westpac Mastertrust - Superannuation Division,0
MySuper WASF Default Option,Worsley Alumina Superannuation Fund,0.000163243
